iter	Logloss
0	0.6345125555
1	0.5969051319
2	0.5502608582
3	0.5087583772
4	0.4873777955
5	0.4504244459
6	0.4217802614
7	0.3875423893
8	0.3676534799
9	0.3412177327
10	0.3173156571
11	0.2984013819
12	0.2781497201
13	0.2634841793
14	0.2433141771
15	0.228051741
16	0.2182676714
17	0.2045743544
18	0.1956458668
19	0.185369806
20	0.1766972385
21	0.1651813172
22	0.1580552426
23	0.1485020774
24	0.1397582882
25	0.1344125035
26	0.1279248458
27	0.1246389662
28	0.1205268063
29	0.1145742018
30	0.1108242496
31	0.1074531891
32	0.1052646742
33	0.1003413986
34	0.09748970283
35	0.09226233095
36	0.08882535159
37	0.08499031276
38	0.08134350934
39	0.07899402262
40	0.07676113045
41	0.07404043386
42	0.07216936153
43	0.07012269261
44	0.06903203503
45	0.06666482674
46	0.06504694446
47	0.06311538193
48	0.06100199773
49	0.05970459718
50	0.05819849916
51	0.05693426237
52	0.05550631848
53	0.05419052564
54	0.05303399641
55	0.05094664961
56	0.04918156089
57	0.04819043128
58	0.04667288916
59	0.04487730383
60	0.04370308446
61	0.04267709072
62	0.04133645781
63	0.04083851144
64	0.03981367048
65	0.03875249821
66	0.0381291882
67	0.03745528106
68	0.03682248671
69	0.03574533777
70	0.03523595778
71	0.03455974505
72	0.03372913927
73	0.03321618038
74	0.03260590218
75	0.03162959644
76	0.03110743617
77	0.0306190213
78	0.02995154098
79	0.02942213383
80	0.0290356416
81	0.02860752567
82	0.02809369695
83	0.02773827773
84	0.02718316854
85	0.02654056759
86	0.02605945199
87	0.02551357039
88	0.02486114712
89	0.02440278085
90	0.02394404778
91	0.02334122081
92	0.02280727586
93	0.02240054424
94	0.02192934791
95	0.02153886806
96	0.02130003028
97	0.02082102508
98	0.02037558582
99	0.01980282448
100	0.01934430887
101	0.01914430582
102	0.01878318944
103	0.01842276212
104	0.01815551978
105	0.01795832403
106	0.01766572287
107	0.01741007265
108	0.01713579042
109	0.01684428833
110	0.01642142547
111	0.01599412698
112	0.01566038813
113	0.01545983618
114	0.01513356691
115	0.0148324914
116	0.01447075278
117	0.01427428801
118	0.01409577013
119	0.01383926056
120	0.01361996787
121	0.01338274924
122	0.01319960709
123	0.01299890057
124	0.01286131995
125	0.01272451485
126	0.01255882048
127	0.01235007192
128	0.01204941299
129	0.01189113842
130	0.01177429891
131	0.01166330327
132	0.0115039008
133	0.01136400411
134	0.01118672811
135	0.01104371102
136	0.01090073324
137	0.01076358426
138	0.01065532323
139	0.01051176118
140	0.01039728228
141	0.01028934219
142	0.01016720049
143	0.0100553789
144	0.009909948805
145	0.009794868611
146	0.009625361516
147	0.00945609284
148	0.009361324075
149	0.009274431637
150	0.009159689421
151	0.009085879221
152	0.008938208386
153	0.008833701794
154	0.008692178097
155	0.008613708255
156	0.008520840944
157	0.008414183344
158	0.008299387418
159	0.008170830024
160	0.008103479396
161	0.008013868725
162	0.007932649864
163	0.007832337867
164	0.007762494978
165	0.007648428718
166	0.007590633172
167	0.007474635984
168	0.007374770039
169	0.007322069708
170	0.007235558478
171	0.007140855213
172	0.007078620104
173	0.007023333193
174	0.006949025196
175	0.00687533748
176	0.006813351925
177	0.006766790872
178	0.006694185865
179	0.00664457777
180	0.006573798892
181	0.006499990002
182	0.006441466101
183	0.006393754875
184	0.006327726029
185	0.006263157824
186	0.006206747595
187	0.006142038565
188	0.006087413201
189	0.006032011011
190	0.005975708857
191	0.00591806789
192	0.005860850051
193	0.005813138826
194	0.005772878835
195	0.005728825763
196	0.005690065714
197	0.005651865687
198	0.00560855407
199	0.005571341777
200	0.005529222253
201	0.005489096864
202	0.005440128701
203	0.005398973331
204	0.005360474953
205	0.005323058629
206	0.005288974597
207	0.00525120261
208	0.005213814122
209	0.005181708179
210	0.005146094731
211	0.00511432218
212	0.005079327704
213	0.005044963006
214	0.005010777777
215	0.004975462353
216	0.004945621058
217	0.004916826447
218	0.004887919832
219	0.004859667558
220	0.004827434545
221	0.004794932001
222	0.004767199467
223	0.004736961899
224	0.004706866794
225	0.004680819564
226	0.00465123339
227	0.004625336809
228	0.004596466547
229	0.00456779311
230	0.004539995731
231	0.004512274331
232	0.004484386234
233	0.004457076172
234	0.004428611352
235	0.004405023305
236	0.004379029785
237	0.004351457069
238	0.004324080852
239	0.004298692549
240	0.004273895379
241	0.004249154866
242	0.004222855463
243	0.004201672234
244	0.004177525148
245	0.004152420785
246	0.004132097239
247	0.004107434016
248	0.004084575307
249	0.004060545465
250	0.004040875933
251	0.004021299409
252	0.003998128267
253	0.003976461652
254	0.003955007909
255	0.003932629313
256	0.003911494554
257	0.003889739513
258	0.003871807358
259	0.003850073932
260	0.00382996326
261	0.003812411002
262	0.003791545774
263	0.003774545677
264	0.00375517646
265	0.003734991773
266	0.003716033239
267	0.003696319494
268	0.003680133885
269	0.003661775327
270	0.003642846595
271	0.003627163041
272	0.00360843965
273	0.003592928687
274	0.003575340732
275	0.003557164918
276	0.003542318121
277	0.003524434435
278	0.003507789347
279	0.003491252333
280	0.003473941441
281	0.003459435243
282	0.003443424518
283	0.003426652033
284	0.003412705529
285	0.003396156725
286	0.003382642518
287	0.003367184283
288	0.003350919092
289	0.003337765133
290	0.003322660268
291	0.003307362834
292	0.003292408618
293	0.003277342071
294	0.003264701628
295	0.003250091613
296	0.00323430326
297	0.003221937588
298	0.003207534879
299	0.003193631604
